ID,Z_LAMBDA,LAMBDA,Mbar,Mdm,R200_kpc,sigma_v_obs,sigma_v_gpf,ratio,n_members
92,0.1168999969959259,96.7699966430664,96769996643066.4,8372160707631.107,124.31811676297792,1104.6880151062667,1101.1342612591318,0.9967830248916089,52
99,0.1345999985933303,91.08999633789062,91089996337890.62,7692358183324.499,119.8870842018436,4238.410438250043,1086.8573157265187,0.256430407474945,22
103,0.1838999986648559,112.2699966430664,112269996643066.4,10307889003748.074,135.90899868060265,22912.18223358719,1137.1061323312392,0.04962888828041636,12
109,0.1348000019788742,76.30999755859375,76309997558593.75,6003638795951.879,107.80498681289265,672.0544159225223,1046.2501027035444,1.5567937326434609,18
110,0.1136000007390976,74.27999877929688,74279998779296.88,5781242450586.508,106.07501937161628,4124.755578784318,1040.2162757322822,0.25218858569041885,11
114,0.1403000056743621,90.1500015258789,90150001525878.9,7581455210972.006,119.14324654066674,3507.514075386554,1084.4299816425507,0.3091733798739036,20
123,0.1206000000238418,77.87999725341797,77879997253417.97,6177273616154.546,109.1303488561152,3465.9385163215898,1050.8335160989245,0.3031887355042227,28
125,0.3799999952316284,131.8699951171875,131869995117187.5,12912339194220.65,149.68475852097816,1150.8261845998477,1177.5735488182227,1.0232418801173482,13
132,0.1397999972105026,86.12999725341797,86129997253417.97,7112409388657.379,115.9264794384572,2065.4566367069383,1073.8273442962843,0.5198982758642376,23
137,0.1022000014781951,75.7300033569336,75730003356933.6,5939853125945.279,107.31261369702888,2366.1963278477683,1044.5387476804449,0.4414421303030804,47
139,0.1404999941587448,72.5,72500000000000.0,5588223265022.863,104.5424782035391,3445.523632340461,1034.821445425481,0.3003379328797556,18
140,0.3553999960422516,139.17999267578125,139179992675781.25,13925412632529.582,154.6094632941025,1873.2155364513148,1191.506101308719,0.6360752823809853,10
142,0.3327000141143799,120.55999755859376,120559997558593.77,11388986091361.07,141.84431205182557,8058.0983997165895,1154.8248140911044,0.14331232467100682,13
143,0.1103999987244606,70.0999984741211,70099998474121.09,5330964024957.356,102.45208286644697,551.4493731336105,1027.3855986536112,1.8630642244010427,10
151,0.1384000033140182,81.94999694824219,81949996948242.19,6633902102573.459,112.51731292267084,2696.9450757407376,1062.3968273246212,0.39392601535751537,29
159,0.1187999993562698,53.52999877929688,53529998779296.88,3654573213764.4365,87.14617443205145,2798.4831813628116,969.9164363482058,0.346586480421824,23
165,0.1374000012874603,78.31999969482422,78319999694824.22,6226188827474.814,109.49986739762998,2453.16410414039,1052.105437937369,0.42887690887113966,24
198,0.1515000015497207,79.52999877929688,79529998779296.88,6361271122625.98,110.51177958461781,1737.8443640070525,1055.5754249637746,0.6074050397297205,15
